fs,fft_x_mag,fft_y_mag,fft_z_mag,psd_x,psd_y,psd_z
215.125,0.003084773805178532,0.006454355656536675,0.01002401433018366,3.8063317716462566e-05,0.0001666348277642679,0.00040192345316690943
215.25,0.005710925136298319,0.013529369392023576,0.01278095121736796,0.0001304586636496159,0.0007321753445832976,0.0006534108560829581
215.375,0.007663982269196865,0.0038187213233182135,0.004676526766911916,0.0002349464968902557,5.8330530180660834e-05,8.747961040657448e-05
215.5,0.0008779897947855575,0.007610018696636617,0.006567366813537713,3.0834643189903413e-06,0.0002316495382526355,0.00017252122745422597
215.625,0.005852324485908378,0.004926484284275491,0.011986220276721967,0.00013699880755345102,9.708098961285359e-05,0.0005746779060884033
215.75,0.0031386202554992294,0.0037071297791221544,0.0056749317274421285,3.9403748432920194e-05,5.4971244797017095e-05,0.00012881940044451721
215.875,0.008185436604328718,0.005207151228545904,0.0027332795025321495,0.0002680054896139378,0.00010845769566778845,2.988326735584958e-05
216.0,0.011245938986269976,0.002086602528990048,0.005411471170005275,0.0005058845747316279,1.7415640455950655e-05,0.00011713608089519304
216.125,0.0023725538526231356,0.0023662127947338433,0.011616742829484989,2.2516047134387535e-05,2.239585195984858e-05,0.0005397948558655637
216.25,0.006260103329477825,0.014385090222544708,0.01544869918308405,0.00015675557478295738,0.0008277232828430055,0.0009546492257976871
216.375,0.014141149690746507,0.014423472746708786,0.007690791614388247,0.0007998884583044002,0.0008321462643002044,0.0002365931026237783
216.5,0.005979366670721035,0.0040192339974194245,0.005356666295211315,0.0001430113031317182,6.46169677040485e-05,0.00011477549519301166
216.625,0.011612251465615491,0.002612604346788422,0.006870133410332846,0.0005393775364027565,2.7302805891431025e-05,0.0001887949323030865
216.75,0.012488960721498266,0.008596573760950231,0.014292915923059939,0.0006238965596125059,0.00029560432170983204,0.0008171497823346414
216.875,0.010785048764844148,0.014218258459751403,0.015335581402885639,0.00046526910744026516,0.0008086354945131694,0.0009407202278581275
217.0,0.0031874418591982877,0.007001651224779477,0.005755935828797302,4.063914242307775e-05,0.00019609247949382383,0.00013252318906092992
217.125,0.005207032752877638,0.0007613720751938808,0.013750925881118432,0.0001084527603581619,2.318749747540146e-06,0.000756351850352051
217.25,0.001731737210913138,0.004010566015567996,0.009708357693817341,1.1995655070644856e-05,6.43385590609158e-05,0.00037700883644440947
217.375,0.0017137797410573577,0.00423800587988603,0.014445025175028776,1.1748164003434497e-05,7.184277535179425e-05,0.0008346350092288605
217.5,0.00983434875506426,0.01052882378210823,0.006250614452681042,0.0003868576617449359,0.00044342452093875143,0.00015628072414426047
217.625,0.00267711784925834,0.009179818634909496,0.002047868252523794,2.86678399152704e-05,0.0003370762806793266,1.677505751877943e-05
217.75,0.0024251284116542557,0.007994075345020443,0.00788685581132172,2.3524991252050772e-05,0.00025562096248745483,0.00024880997835431673
217.875,0.0046639616069995135,0.004851902344457685,0.0022609538141223655,8.701015148626194e-05,9.416382544061594e-05,2.0447648598377886e-05
218.0,0.0022967881098045536,0.005882541090883147,0.0044221293270991216,2.1100942485358296e-05,0.00013841715874371476,7.822091114236051e-05
218.125,0.005547707097722823,0.00525875073058032,0.010038405668451033,0.00012310821616849673,0.00011061783698551619,0.0004030783534575593
218.25,0.013108671247921403,0.0018429779942944963,0.007343960165081616,0.0006873490475443251,1.3586271549815059e-05,0.00021573500362522238
